City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,taltal,-25.4,-70.4833,14.96,85,91,2.21,CL,1688946936
313,zhangye,38.9342,100.4517,26.17,45,96,1.5,CN,1688946937
314,gemena,3.25,19.7667,21.11,98,69,0.37,CD,1688946937
315,trinity beach,-16.7888,145.6968,24.45,60,40,6.69,AU,1688946937
316,lorengau,-2.0226,147.2712,26.93,85,100,3.97,PG,1688946937
317,san martin,-33.081,-68.4681,11.3,72,18,2.51,AR,1688946735
318,villa regina,-39.1,-67.0667,8.82,43,98,4.45,AR,1688946938
319,liberal,37.0431,-100.921,25.58,61,0,4.63,US,1688946938
320,cole harbour,44.6724,-63.4751,20.66,91,50,2.57,CA,1688946939
321,dingli,35.8614,14.3822,25.45,83,0,1.03,MT,1688946939
322,mary,37.0,62.5,26.08,22,0,2.9,TM,1688946939
323,frostburg,39.6581,-78.9284,21.8,92,73,2.05,US,1688946940
324,eno,62.8051,30.1542,9.16,92,47,2.19,FI,1688946940
325,lodwar,3.1191,35.5973,27.21,40,82,2.11,KE,1688946940
326,tazacorte,28.629,-17.9293,22.54,92,0,3.6,ES,1688946941
327,kelso,46.1468,-122.9084,29.71,51,0,3.6,US,1688946941
328,orkney,-26.9802,26.6727,1.04,48,0,4.49,ZA,1688946941
329,azov,47.1078,39.4165,21.4,92,100,6.01,RU,1688946941
330,hamilton,39.1834,-84.5333,25.49,60,70,2.68,US,1688946942
331,rancheria payau,7.8541,123.1598,24.96,84,98,0.44,PH,1688946942
332,arno,60.1167,18.6333,14.88,79,2,0.87,SE,1688946943
333,neryungri,56.6709,124.6491,16.84,49,0,2.29,RU,1688946943
334,nagqu,31.5,92.0,7.83,85,100,1.56,CN,1688946705
335,laguna,38.421,-121.4238,30.3,45,0,6.17,US,1688946943
336,bubaque,11.2833,-15.8333,27.7,83,91,4.99,GW,1688946943
337,saint helier,49.188,-2.1049,16.43,1,45,1.03,JE,1688946694
338,zaozersk,69.4005,32.4476,5.36,87,61,1.48,RU,1688946944
339,san matias,-16.3667,-58.4,27.04,39,22,2.31,BO,1688946944
340,rosalie,15.3667,-61.2667,27.39,86,45,8.48,DM,1688946945
341,chateaubelair,13.2833,-61.25,27.29,83,75,11.32,VC,1688946945
342,guiratinga,-16.3494,-53.7583,22.98,37,5,1.39,BR,1688946945
343,pacocha,-17.5833,-71.3333,16.94,82,13,1.99,PE,1688946946
344,sao paulo de olivenca,-3.3783,-68.8725,24.31,92,25,1.08,BR,1688946946
345,la passe,45.5549,-0.8967,18.32,87,64,2.29,FR,1688946946
346,kurchatov,51.6601,35.6521,15.23,82,100,5.03,RU,1688946946
347,kaihua,23.3687,104.28,20.32,91,91,2.6,CN,1688946947
348,mogocha,53.7333,119.7667,21.82,39,80,0.82,RU,1688946947
349,bergama,39.1207,27.1805,21.53,53,0,1.95,TR,1688946947
350,aasiaat,68.7098,-52.8699,5.57,92,100,2.93,GL,1688946797
351,mata-utu,-13.2816,-176.1745,27.24,79,74,8.09,WF,1688946948
352,imperatriz,-5.5264,-47.4917,28.02,52,94,1.37,BR,1688946948
353,flying fish cove,-10.4217,105.6791,24.82,94,100,5.66,CX,1688946948
354,crane,31.3974,-102.3501,38.06,24,23,7.39,US,1688946949
355,levuka,50.1834,-105.4011,28.9,28,0,5.38,CA,1688946949
356,kavieng,-2.5744,150.7967,27.55,76,100,0.85,PG,1688946949
